TABLE_TITLE,TABLE_UNIVERSE
"Field Of Bachelor's Degree For First Major The Population 25 Years And Over (White Alone, Not Hispanic Or Latino)","WHITE ALONE, NOT HISPANIC OR LATINO POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT"
Presence Of A Computer And Type Of Internet Subscription In Household (White Alone),White alone household population
White Alone Or In Combination With One Or More Other Races,White alone or in combination with one or more other races
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (White Alone),White alone population 15 years and over
School Enrollment By Detailed Level Of School For The Population 3 Years And Over (White Alone),White alone population 3 years and over
"Presence Of A Computer And Type Of Internet Subscription In Household (White Alone, Not Hispanic Or Latino)","White alone, not Hispanic or Latino household population"
"Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (White Alone, Not Hispanic Or Latino)","White alone, not Hispanic or Latino population"
"Median Age By Sex (White Alone, Not Hispanic Or Latino)","White alone, not Hispanic or Latino population"
"Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (White Alone, Not Hispanic Or Latino)","White alone, not Hispanic or Latino population 15 years and over"
"School Enrollment By Detailed Level Of School For The Population 3 Years And Over (White Alone, Not Hispanic Or Latino)","White alone, not Hispanic or Latino, population 3 years and over"
Sex Of Workers By Place Of Work--Place Level,Workers 16 years and over
Allocation Of Time Of Departure To Go To Work,Workers 16 years and over
Sex Of Workers By Place Of Work--State And County Level,Workers 16 years and over
Allocation Of Travel Time To Work,Workers 16 years and over
Allocation Of Place Of Work,Workers 16 years and over
Means Of Transportation To Work,Workers 16 years and over
Allocation Of Private Vehicle Occupancy,Workers 16 years and over
Allocation Of Means Of Transportation To Work,Workers 16 years and over
"Sex Of Workers By Place Of Work--Minor Civil Division Level For 12 Selected States (Ct, Me, Ma, Mi, Mn, Nh, Nj, Ny, Pa, Ri, Vt, Wi)",Workers 16 years and over
Place Of Work For Workers 16 Years And Over--Metropolitan Statistical Area Level,Workers 16 years and over living in a Metropolitan Statistical Area
Place Of Work For Workers 16 Years And Over--Micropolitan Statistical Area Level,Workers 16 years and over living in a Micropolitan Statistical Area
Place Of Work For Workers 16 Years And Over--Not Metropolitan Or Micropolitan Statistical Area Level,Workers 16 years and over not living in a Metropolitan or Micropolitan Statistical Area
Time Of Departure To Go To Work,Workers 16 years and over who did not work from home
Travel Time To Work,Workers 16 years and over who did not work from home
Aggregate Travel Time To Work (In Minutes) Of Workers By Travel Time To Work,Workers 16 years and over who did not work from home
Means Of Transportation To Work By Travel Time To Work,Workers 16 years and over who did not work from home
Aggregate Travel Time To Work (In Minutes) Of Workers By Means Of Transportation To Work,Workers 16 years and over who did not work from home
