COLUMN_NAME
CENSUS_BLOCK_GROUP
DATE_RANGE_START
DATE_RANGE_END
RAW_VISIT_COUNT
RAW_VISITOR_COUNT
VISITOR_HOME_CBGS
VISITOR_WORK_CBGS
DISTANCE_FROM_HOME
RELATED_SAME_DAY_BRAND
RELATED_SAME_MONTH_BRAND
TOP_BRANDS
POPULARITY_BY_HOUR
POPULARITY_BY_DAY
